Title,description,Poster
Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2NjI1Mjk3M15BMl5BanBnXkFtZTcwNTkyODUyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
Persuasion,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5NzAwNDAyN15BMl5BanBnXkFtZTYwMjYzMDc5._V1_UY268_CR1,0,182,268_AL_.jpg"
Persuasion,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjU0NDQ1OTMzOF5BMl5BanBnXkFtZTcwMjczODUyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
Bad Boys,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.","https://images-na.ssl-images-amazon.com/images/M/MV5BNzIzMjI5ODkzN15BMl5BanBnXkFtZTgwNDQ3MTg1NDE@._V1_UY268_CR87,0,182,268_AL_.jpg"
The Scarlet Letter,"Set in puritanical Boston in the mid 1600s, the story of seamstress Hester Prynne, who is outcast after she becomes pregnant by a respected reverend. She refuses to divulge the name of the father, is ""convicted"" of adultery and forced to wear a scarlet ""A"" until an Indian attack unites the Puritans and leads to a reevaluation of their laws and morals.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxMjcxODU3NF5BMl5BanBnXkFtZTcwODU2NjcxMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
The War,The son of a Vietnam War Veteran must deal with neighborhood bullies as well as his dad's post-traumatic stress disorder while growing up in the deep south in the 1970's.,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzOTgzMzEzMF5BMl5BanBnXkFtZTgwMjIxNTcwMzE@._V1_UY268_CR68,0,182,268_AL_.jpg"
Jane Eyre,"Jane Eyre is an orphan cast out as a young girl by her aunt, Mrs. Reed, and sent to be raised in a harsh charity school for girls. There she learns to be come a teacher and eventually seeks employment outside the school. Her advertisement is answered by the housekeeper of Thornfield Hall, Mrs. Fairfax.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0NjkxNjk5Ml5BMl5BanBnXkFtZTcwNzA1MzI0MQ@@._V1._CR0,2,295,423_UY268_CR2,0,182,268_AL_.jpg"
Jane Eyre,"Jane Eyre is an orphan cast out as a young girl by her aunt, Mrs. Reed, and sent to be raised in a harsh charity school for girls. There she learns to be come a teacher and eventually seeks employment outside the school. Her advertisement is answered by the housekeeper of Thornfield Hall, Mrs. Fairfax.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwMzUzMjg4MF5BMl5BanBnXkFtZTcwOTE4NzcyMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg"
The Phantom,The 21st successor to the role of Bengalla's resident superhero must travel to New York to prevent a rich madman from obtaining three magic skulls that would give him the secret to ultimate power.,"https://images-na.ssl-images-amazon.com/images/M/MV5BODEyOTEzMTk2NV5BMl5BanBnXkFtZTcwMjI4NDM3Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
The Gate of Heavenly Peace,"The Gate of Heavenly Peace is a feature-length documentary about the 1989 protest movement, reflecting the drama, tension, humor, absurdity, heroism, and many tragedies of the six weeks from April to June in 1989. The film reveals how the hard-liners within the government marginalized moderates among the protesters (including students, workers and intellectuals), while the actions of radical protesters undermined moderates in the government. Moderate voices were gradually cowed and then silenced by extremism and emotionalism on both sides.","https://images-na.ssl-images-amazon.com/images/M/MV5BZmQ5ZmEwMDEtZTUxMi00NTQyLTgyNmEtODc4ZjIwZWI5YjY1XkEyXkFqcGdeQXVyNDc3MTk3Njg@._V1_UY268_CR109,0,182,268_AL_.jpg"
Emma,"Emma Woodhouse is a congenial young lady who delights in meddling in other peopleÃÂ¢ÃÂÃÂs affairs. She is perpetually trying to unite men and women who are utterly wrong for each other. Despite her interest in romance, Emma is clueless about her own feelings, and her relationship with gentle Mr. Knightly.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxMDc1MzQxMV5BMl5BanBnXkFtZTcwMzY0MzUwMw@@._V1_UY268_CR4,0,182,268_AL_.jpg"
Emma,"Emma Woodhouse is a congenial young lady who delights in meddling in other peopleÃÂ¢ÃÂÃÂs affairs. She is perpetually trying to unite men and women who are utterly wrong for each other. Despite her interest in romance, Emma is clueless about her own feelings, and her relationship with gentle Mr. Knightly.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzMzQ0MTYzNl5BMl5BanBnXkFtZTcwMDEyODUyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
The Scarlet Letter,"In Puritan Boston, seamstress Hester Prynne is punished for playing on the Sabbath day; but kindly minister Arthur Dimmesdale takes pity on her. The two fall in love, but their relationship cannot be: Hester is already married to Roger Prynne, a physician who has been missing seven years. Dimmesdale has to go away to England; when he returns, he finds Hester pregnant with their child, and the focus of the town's censure. In a humiliating public ceremony, she is forced to don the scarlet letter A - for adultery - and wear it the rest of her life.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxMjcxODU3NF5BMl5BanBnXkFtZTcwODU2NjcxMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
The Love Bug,"Herbie is a car - but no ordinary car. The story follows the Volkswagen Beetle with a mind of its own from the showroom to the race track, with various close escapes in between. Three further Herbie movies were to follow.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyODQ4NzQyM15BMl5BanBnXkFtZTcwMjY5NTUyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
"20,000 Leagues Under the Sea","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.","https://images-na.ssl-images-amazon.com/images/M/MV5BODMzMDc5NTM4MV5BMl5BanBnXkFtZTcwNTAwMTU1MQ@@._V1_UY268_CR23,0,182,268_AL_.jpg"
Cinderella,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!","https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1NTU5NDg4OF5BMl5BanBnXkFtZTcwOTU5MTkxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
A Christmas Carol,"Reginald Owen portrays Charles Dickens' holiday humbug Ebenezer Scrooge, the miser's miser who has a huge change of heart after spirits whisk him into the past, present and future.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2ODIxODM0M15BMl5BanBnXkFtZTcwNDgwNTMyNA@@._V1_UY268_CR110,0,182,268_AL_.jpg"
Anna Karenina,Anna (Marceau) is a wife and mother who has an affair with the handsome Count Vronsky (Bean). Based on the novel by Tolstoy.,"https://images-na.ssl-images-amazon.com/images/M/MV5BOThlM2M3N2MtN2FjYy00MzUzLTkzNjQtNTlmMmRlM2RlYTM4XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_UY268_CR7,0,182,268_AL_.jpg"
Hercules,"Bestowed with superhuman strength, a young mortal named Hercules sets out to prove himself a hero in the eyes of his father, the great god Zeus. Along with his friends Pegasus, a flying horse, and Phil, a personal trainer, Hercules is tricked by the hilarious, hotheaded villain Hades, who's plotting to take over Mount Olympus!","https://images-na.ssl-images-amazon.com/images/M/MV5BYjkzZjc4ZWQtYjg1Ni00ZGUyLThhYzctYzhmNmE3OTMzYTZjXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_UX182_CR0,0,182,268_AL_.jpg"
Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancÃÂÃÂ©, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyNjc0NjgyMl5BMl5BanBnXkFtZTcwMDAzMTAzMQ@@._V1_UY268_CR5,0,182,268_AL_.jpg"
Labyrinth,"Frustrated with babysitting on yet another weekend night, Sarah - a teenager with an active imagination - summons the Goblins from her favourite book, ""Labyrinth"", to take the baby stepbrother away. When little Toby actually disappears, Sarah must follow him into the world of the fairytale to rescue him from the Goblin King!","https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3NDU1NTY5NjZeQTJeQWpwZ15BbWU4MDMxNjQxODEx._V1_UY268_CR111,0,182,268_AL_.jpg"
Dangerous Liaisons,Dangerous Liaisons is the film based on the novel of the same name by Choderlos de Laclos set in 18th century France. Marquise de MerteuilÃÂ¢ÃÂÃÂs asks her ex-lover Vicomte de Valmont to seduce the future wife of another ex-lover of hers in return for one last night with her. Yet things donÃÂ¢ÃÂÃÂt go as planned in this love triangle drama.,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMTgxOTc2Nl5BMl5BanBnXkFtZTgwNDY4Mjk0MjE@._V1_UY268_CR87,0,182,268_AL_.jpg"
Dangerous Liaisons,Dangerous Liaisons is the film based on the novel of the same name by Choderlos de Laclos set in 18th century France. Marquise de MerteuilÃÂ¢ÃÂÃÂs asks her ex-lover Vicomte de Valmont to seduce the future wife of another ex-lover of hers in return for one last night with her. Yet things donÃÂ¢ÃÂÃÂt go as planned in this love triangle drama.,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5MDIzMDk2NF5BMl5BanBnXkFtZTcwNjEyMDUyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
Dune,"In the year 10,191, the world is at war for control of the desert planet Dune ÃÂ¢ÃÂÃÂ the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4MjMyMTkxN15BMl5BanBnXkFtZTYwODA5OTU5._V1._CR15,35,299,438_UY268_CR0,0,182,268_AL_.jpg"
Rosemary's Baby,A young couple moves into an infamous New York apartment building to start a family. Things become frightening as Rosemary begins to suspect her unborn baby isn't safe around their strange neighbors.,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3OTI5NzIzNF5BMl5BanBnXkFtZTgwNTc4NTQ0MTE@._V1_UY268_CR12,0,182,268_AL_.jpg"
